 1000    9000
  404     485     270
  828     587     292
  639     406     283
  252     738     414
  845     616      43
  499     398     463
  483     334      38
  600     422     430
  702     669      58
  916     874      22
  655      49       1
  219     586     258
  916     866     322
  435     174     172
  194     420      60
  859      35     312
  320     379      22
  325     410      41
  648     343     312
  889     993     254
  936     769     458
  223     208     172
  875     587      50
  454     609     132
  498     846     338
  397     380     190
   51     363     154
  447     985     143
  418     300     159
  628     625      34
  417     774     485
  425     301     428
  526     391     270
  170     485     133
  473     316     493
  304     369     426
  983     200     170
  869     943     449
   49     920     397
  254     896     391
  209     452      64
  561     480     129
  724     526     356
  624     244     338
  286     436      53
   55     159     195
  523     229     493
  269     493     425
  423     398     240
  778     328      85
  853      62      57
  465       7      56
  212     981     373
  435     230     292
  406     614     404
  935     126     138
  694     676     286
  832     863     255
  526     848     474
  894     364     171
  834     161     172
  569     657     123
  450     551     185
  686     103     286
  480     960      29
  932      68     379
   96      19     238
  627     228     103
  564     558     275
  226     927     386
  150     786     329
  472     511     152
   20     416     255
  489     527     178
  635     378     379
  256     679     484
  234     154     223
  979     372     340
  770     916     194
  954     596     257
  123     437     117
  848     597     226
  900     859     260
  163      60     423
  513     355     310
  911     183     144
  252     373     176
  697      78     161
  589     245     139
   35     288     450
  848      33     182
  933     829     274
  105     559     169
  484     226     365
  741     114     320
  401     329      58
  420     746     274
  219     926     345
  571     763      85
   83     449     207
  358     906     234
  275     182     242
  291     956     226
  520     653      46
  358     786     379
  260     152     126
  630     741     306
  813     827     323
  961     581      18
  274     318     118
  135     457     314
  146     511     176
  901     807     461
  518     778     331
  546     724     205
   88     928     420
  974     604      69
  811     746     127
  654     976     353
  517     296     180
  656     150     376
   60     751     204
  336     876     151
  349     875     337
  877     701     107
  508     532      52
  682     679     291
  932      51     413
  617     978     198
  966     196      23
   52     820     499
   17     523     407
  868     758     467
  935     540      45
  752      94     440
  685     905     201
  175     305     380
  729     874      68
  339     703      74
  165      49     425
  634     805     164
  450     430     332
  666     307     394
  101     447     149
  356     964     312
  908     279     212
  714     747     145
  982     348      95
  235      39     226
  814     600      93
  236     407     275
  961     116      44
  254     977     174
   99     356      84
  240     435     452
  796     654     424
  840     628     251
  298     238     465
  441     638     277
  197     542     351
  464     411     189
  710     558     276
  225      22     251
  573     591      94
  638     687     241
  343     689      44
  893      41     336
  279     820     148
  472     630     397
  817     223      43
  395     448     194
   58     984     346
  925     585     433
  699     834     276
  954     796     129
  867     579     441
  904     885     369
  203     588      88
  250     966      67
  462     103     443
  673     573     400
  513     281     489
   94      58     206
   87     147     128
  327     526     101
  873     822      29
  966     717     465
  412     135     278
  650     747     416
  117     402     210
  265     487     419
  838     881     471
  240     475     259
  283     236     146
  866     458      81
  608     383     138
  645     408      66
  851     316     313
  386     971     469
  638     757     447
  368     169     232
  579      37     429
  518     416     343
  410     464     323
  474     442     179
  735     586      69
  137     124      31
  748      51     220
  154     226     494
  419     433     285
  700     215     231
  857     633     177
  166     646     329
  251     557     253
  939     498     191
  741     428     213
  172     276     457
  702     111     157
  156     825       3
  132     173     432
  466     995     189
   54     310     117
  715     434     404
  589     348     438
  809      50     152
  652     765      44
  521     702     465
  384     514     359
  904     926      64
  258     502     417
  446     541     479
  122     276     491
  639     777     379
  368     702     277
  195     535       3
   15     370     344
  194      31     260
  411     368      51
  661     665     232
  840      47     181
  528     626      45
  172     157     338
  766     653      98
  829     963     224
  333     369     219
  821     819      76
  261     861     233
  797     807     106
  740     924     165
  505     565     223
  840     817     112
  603     280      26
  416     212     273
  805     643      72
  128      23      76
  908     960      15
  923     769       3
   81     763      59
  821     891     420
  503     952     258
  631     852     368
  812     255     445
  834     744     163
  348     441      76
  877     526     495
  672     448     314
  540     294      93
  608     540     308
  964      73     422
  337     626     354
  287     972      21
  727     720     388
  341     638     471
  140     881     352
   81     624     131
  220     772     229
  291     846     395
  926     461     210
  858     532     116
  918     565     252
  335     918     114
   35     769     123
  211      76     151
  115      17      23
  668     765     113
  353       9     453
  149     974     131
  274     772     299
  455     408     414
  668     852     149
  165     186     357
  507     786     355
  315     624     190
  514     511      44
  623     978     364
  490     285     257
   99     169     163
  506     747     142
  359     203      66
  260     329     136
  705     887     379
  337     434     402
  319     165     269
  322     189     471
  254     101     219
  142     269     141
  740     336     334
  508     556      15
  130     855     225
  559     497     164
   75     232      49
  255     485     391
  381     385     389
  875     618     161
  460     242     405
  595     367     495
  591     390     233
  362     480     194
  509     183     118
  958     504     486
  860      30     143
  642     505     183
  810       1      32
  350     991     349
  179     282     286
  812     669      81
  962     589      82
  981     111     227
  904     442     433
  486     689     500
  389      32     348
  757      46     391
 1000      90     196
  915     790     375
  604     844     469
  487     615     423
   53     232     131
  520     297     162
  233     181     143
  351     236     159
  441     929     352
  392     640     468
  568     855      91
  986     159      94
  655     901     196
  442     858      49
  869     979     436
  611     898      35
  287     657       5
  945     519     257
  943     883     240
  258     452      67
   19     843     111
  766     969     437
  244     546     134
  854     895     389
  951     699     223
   65     523     254
  782      23     474
  510     959     473
  245      65      11
  366     136     268
   62     571     366
  218      53     390
  241     433     480
  326     391     246
  840     714     499
  183     124      38
  409     767     241
  986      21     243
  742     647     267
  739     315     417
  320     511       2
  776     298     411
  304     171     422
  846     307      69
  820      27     475
  984     471     103
  484     207     271
  139     298     183
  135     195     272
  198     287     321
  570     248     285
  493     345     170
  626     577     201
  933     574      59
  347      51     122
  485     410     338
  328     811     382
  154     559     246
  554     370     243
  787     374      84
  961     436     267
  423     498      38
  202     406      16
  939     365     165
  788     965     153
  738     628     205
  729     653      93
   91     582     208
  578     889     246
  318     272     121
  380     478     149
  146     417      28
  600     103     209
  815      38     109
  797     355     343
   59     762     322
  893     771     328
  116      58     351
  978     638     211
  795     144     426
  244     775     264
  664     104     161
  215      96     430
  239     182     220
  267     101     227
  338     422     142
  694     238     424
  650     641     313
  741     921     188
  639     426     264
  829     661      17
  853      99     284
  780     174     263
  540     261     471
  864     608     234
  160     583     195
  970     870     445
   72      55      41
  288     647     335
  681     589     193
  473     998      74
  657     427     170
  187     138     202
  611     287     413
   80     737      18
  831     358     131
  869     759     237
  641     251     186
  777     356     281
  518     995     157
  719     777      22
  371     363       5
  232     923     215
  872     522      43
   86     881     434
  864     932       9
  646     346     391
  771     698     380
  559     386     473
  861     972      73
  662     630     106
  831     236     310
  472      31     473
  701     918     288
   14     341     491
  195     458     169
  497     576     121
  921     729     408
  922     859      97
  928     614     263
  381     854     195
  219      15      48
  589     407       9
  213     478     479
  131     955     144
  886     787     475
  833     886     357
  285     448     103
  657     606     412
  632     311     100
  960     991      24
  167     202      97
    3     846     478
  531       4      71
  146      71     406
  262     717     486
  399     469     481
  760     602     124
  585      78     131
  624     130     147
  604      30     436
   38     977     399
  995     673     187
  186     493     139
  123     794     246
  650     816     485
   96     754     409
  932     664     377
  478     432     121
  511     646     217
  212     781     465
  657      18     169
  111     612      35
  223     470     161
  310     484     299
   26     889     437
  108     442     362
  595     136     103
  665      14     125
  700     429     214
   73     762     493
  328     677      98
  818     795     475
  711     911     351
   53     630      87
  579     234     261
  611     716     465
  793     328     302
  449     362     304
  807     400     290
  494     889      41
  354     222     185
  958     268     485
  509     818     251
  685      83     254
  913     932      31
  734     901     252
  739     816      58
  345     908     328
  664       1     247
  877      87      72
  320     291     482
  913     779     181
  756      67      85
  432     127     263
  239     761     289
  373     204     155
  736     508     143
  709     973       9
    2     203      96
  122     720      72
  970     581     337
  109     266     490
  818     589     280
  848     641     179
  789     433       8
  791     705      92
  996     573     159
  682     186      64
  337     389     327
   78     242     326
  214     502      26
  205     516     109
   17      94     148
  677     147      28
   10     774     304
  411     492     210
  204     914      58
  568     712     331
  338     374     256
  434     747     291
  598     203      36
  694      13     392
  613     282      10
  600     598     188
    8     329     125
  838     713     477
   66     737      20
  865      64     414
  814     655      68
  455     109     283
  779     678     471
  484     437     488
  279     879     207
   68      30     306
  212     791     347
  665      81     143
  714     857     294
  527     368       9
  132     661     332
  687     872     382
  519     162     189
  204     124     287
  907     661     453
  364     911      57
  500     641     131
  976      43     210
  381     478     451
  286     131     236
  394     495      49
  203     691     408
  534     755     462
  385     969      39
   80     247     210
   91     634     160
  599      50     362
  353     349     208
  110     459     127
  370     929     363
  296     213       5
   66     776     376
  796     801     130
  258     971      43
    6     672     263
  301     660     246
  188     997     279
   31     142     154
  879     764     295
  469     418      37
  326     584     115
  806     241     322
  516     795     296
  922     302     216
  643     304       5
  988     736     280
  143     292     291
  277       9     495
  524     769      65
    1     356     446
  942     216      31
  765     528     360
  108     427     354
  525     782      62
  743     422     125
  880     715     436
  979     189     111
  458     702     497
  588     683     277
  453     905     307
  741     347      22
  916     135     224
   81     277     497
  769     731       1
  355     123     312
  262       6     189
  403     345     153
  559     254     494
  313     229      35
  391     562     176
  980     723      23
  885     869     491
   64     323     245
  795     438      20
  317      86      16
  956     302     406
  228     399     181
  974     910     320
  667     851      55
   63     963       1
  408     532     292
  590     742      85
  813      94     369
  200     580     386
  113     390     118
  663     729     190
  637     343     256
  182      44     309
  306     397     449
   44     225     489
  374     622     212
  219     810     330
  262     343     193
  836     403     217
  757     218     311
  957     305     445
  691     413      78
  235      77      90
  331     282      37
  817     146     424
  877     104      14
  385     659      95
  929     388     460
  352     401      30
  736     565     370
  128      94     289
  573     302     172
  556      61     300
   11     494     150
  713     422       7
  477     995     397
   35     604      77
  769     690     327
  744     113     282
  595     872     468
  751     783     162
  930     224     241
  897     525     343
  376     222     236
  444     530     416
  130      15     114
  329     467     267
  779     426     339
  171     135     433
   17     888     354
  873     677     385
  524     595     400
  966     555      23
  139     775     228
  944     914     152
  556     418     330
   68      97      75
  160      78     244
  728     207      23
  168     448     401
  198     662     106
  911     413      81
  131     136     128
  270     796     195
  298     302      94
  943     263     101
  303     920      61
  903     651     266
  552     981     352
  127     621     326
  695     942     393
  222     429      85
  547     928     115
  527     464     148
  747     728     425
  912     500     277
  169     965     439
  590     266     401
  953      20     388
  877     775       9
  101     321      83
  333     422     472
  549     309     124
  302     936     244
  484      57     249
  332     320       5
   14     732     450
  487     810     361
  807     699     496
  588     999     277
  515     623     389
  695     862     475
  872     286     403
  829     210     341
  526     750     230
  727     807     430
  191     647      28
  425     376     280
  686     924      55
  759     483     478
  630     126     185
  761     244      85
  530     723     278
  575     229     388
  451     176     218
  319     575     285
   44     843     228
  525     888     422
  981     286     223
  956     687     477
  484     197     186
  842     702      95
  306     103     294
  451     544     271
  694     291     486
  803      41     190
  320     530     329
  501     242      28
  301       2     361
  709      96     405
  266     679      83
  335     947     225
  849     963     312
  232     326     373
  941     351     192
   25     381      60
  959     679     297
  743     927     169
  746      16     385
  840     130     424
  583     898     216
  887     660     145
  637     518     134
  855     790      40
  571     673      34
  175     624     296
  831     751     487
  706     949     358
  701     247     361
  679      67      12
  625     717     344
  796     358     188
  953     100     496
  492     126     380
  281     122     388
  362     784     499
  149      23     340
  763     447     186
  169     447     364
  247     811     318
  821     758     235
  140     342     491
  181     294     240
   25     857     188
  915     692     460
  826     505     388
  325     153     283
  100     662     481
  543     387     264
  456     405     491
  979     698     298
  254     285      62
  258     946     125
  150      85     245
   62     853     109
  891     500     303
  296     105      28
  180     855     177
  792     475      18
  305     138     165
  406     258     355
  934     219     290
  732     625     234
  279     135     481
   17      90     354
  818     319     132
   27     777       2
  971     364     232
  370     545     173
  174     889     477
  312     727     381
  697     308      40
  518     287     155
  182     428      94
  561     399     219
  963     434      58
  673     912     426
  476     566     412
   64     205      70
  789     333     292
  781     130      72
  409     535     352
  411     509     139
  480     992     245
  823      44     444
  204     862     361
  512     276     291
  178     230     126
  346      49     328
  624     977      80
  173     239     183
  412     157     424
  159     766     326
  571     499     297
  750     899     325
  405     954     248
  797      88      69
  684     441     337
  815     837      48
  701     901     230
  356     306     397
  821     911     175
  915     739     142
  348     861     266
  264     901     210
  338     120     139
   77     683      48
  972       6     215
  931     905     385
  280     949     168
  319     699     450
  357     753     321
  411     724     396
  322     808     461
  297     400     360
  480     101     280
  165     577     227
  192     904     367
  948     915     216
  399     612     366
  361     331       7
  250     702     341
  318     297     433
  306     952     214
  272     137      11
  428     560     172
  319     106     172
  773     598      21
  338     268     452
  130     237     389
  885     437      18
  657     707     118
  885     624     241
  742     490     455
  500     603     297
  296     605     208
  626     168     223
  751     308     266
  978     969      66
  789     829     367
  505     822     133
  821      62     444
  137     346     211
  971     291     304
  791     705     148
   19     525     242
   93     924     260
  502     922     269
  950     103     182
  820      90     471
  984     809     152
  527     821      89
   69     797     176
  369      94     404
  308     738     497
  716      89     334
  136     845      33
  602     332     120
  360      31     296
  280     324     204
  619      64     283
  836     106     472
  213     242     215
  158     557     470
   43     996      52
  306     641      94
   11     350     159
  932     758     255
  333     216      22
  975     767      62
  942     842     426
  134     855     478
  290     222     355
  475     282     130
  151     770     300
  328     396      81
  978     169     476
  268     880      66
  296     392     381
  473     392      67
  456      55     331
   47     500     286
   55     287     258
  909     115     236
  429     321     343
  543     106     267
  957     713     452
  586     905     378
  385     537     368
  214     710     444
  216     906     145
  725     236     145
  543     699     347
  354     265     415
  280      52     452
  973     621     423
  767     327     299
   66     348     199
  671     764       4
  785     614     129
  809     430     403
  969     322     367
  924      21      92
  942     731     233
  727     307     318
  338     256     443
  648     813     167
  492     594     436
  492     700      69
  477     184      22
  137     789     341
  234     679     322
  972     506     320
  857     790     416
  246      52     392
  719     292     388
  331     798     361
  131     273      77
  356     207     379
  843     824     229
  497     964     112
  174     326     317
  584     178     327
  437     518      29
  173     420     163
  412     353     298
  301     962     157
   86     761     370
  465     391     336
  900     100     479
  360     310      36
  910     478      36
  406     448     435
  565     756     203
  841     292     304
  830     730     178
  336     684     178
  602     137     206
  964     296     346
  590     421      61
  477     210      46
  158     102     145
  584     627      73
  680     343     438
   97     703     449
  258     281     136
  999      97     336
  965     929     299
  589     379      13
  437      20     228
  790     339     445
  559      37     491
   33     824     214
  652     549     171
   46      47     146
  343     594     250
  270     501     255
  378     594     148
  764     437      34
  464     234     261
  696     374     141
  482     584     438
  614     436     387
  268     734      14
  867     703     385
  307     133     303
  423      36     382
  397     124      47
  645     833     212
  947     276     301
  395     494     142
  351     495     485
  308     100      32
  535     416     188
  341     785     321
  852     871     379
  281     533     100
   51     564     483
  873     326      71
  720     218     331
  180     778      87
  173     658     296
  821     990     357
  863     594     364
   25     684       9
  839     249     109
    5     859      65
  972     503     309
   58     701     347
   28     332     210
  590       4     331
  524     296     270
  726      99       5
  971      64     215
   18      38     348
  578      78     281
  938     419      61
  307     710     354
  293     471     189
  228     577     434
  798     178     315
   78      65     480
  286     125     483
  102     974     446
  987      24     421
  937     800     155
  849     207     104
  238     216     329
  210     758     279
  754     504     396
  548     858     237
  656     590      18
  544     962     375
  691     547     110
  744     943     402
  259       5     500
  656     520     454
  951     805     264
  282     707      14
  916     295     115
  617     876     240
  779      32     407
  506      24     108
  129      59     395
  969     798     145
  783     701     247
  578     458     140
  465     749     423
  217     541     240
  389     557     290
  883     877     402
  819     681     121
  946     783     467
  953      96      24
  100     125     492
  468     100      58
  512     432     347
   98     510     193
  819     206      24
  613     491      32
  422      81     378
  984     395     112
  824     798     133
  812      95     306
  744     155     370
  983     239     410
  592     279     377
    2     711     111
  352     948      88
  227     326     367
   55     906      79
  134     864     250
  794     834     397
  685     277     184
  440     992       4
  360     634     358
   82     878     360
  429     230     337
  889      27     215
   81     765     474
  537     339     201
  713     868     191
  593     669     242
  649     955     214
  787      48     304
  861     234     385
  725     183     455
  440     887      71
  740     330     142
  163     456     202
  932     622     223
  130     966     488
  227      77     371
  309     575     199
   86     929      61
  525      19      10
  614     605     139
  681     639     187
  131     446     194
  333     848     201
  847     760     375
  933     662     251
  315     445       9
  115     883     172
  527     943     287
  980     539     128
   57     165     168
  513     759     170
   33     317     338
  607      51      86
  660     287     381
  713     988     337
  890     575     424
  151     491     158
  328     560     238
  414     617     347
  631     621      83
  811      78       6
  866     131     386
  843     431     147
  758     680     444
  917     136      32
  834     430     390
  460     377     221
   17     196     392
  394     348      92
  374     788     407
  962     267     390
  304     120     147
  594     698     346
  635     187       5
  867     176      31
  726     620     327
  356     396     312
   14     303     283
   18     568     475
  750     595     417
  998     339      80
  292     935     328
  331     864     402
  638     338     120
  340     140     229
  493     462     178
  713     595     288
  963     800     198
  447     857     239
  960      94     237
  259     809     407
   31     950     375
  833     964     236
  346     552     426
  333     838     352
  816     768      59
  318     934     244
  752     439     293
  956     622     316
  730     597     156
  853     520      24
  846     822      60
  428     751     274
  503     996     165
  400      97      79
  880     847     310
   45     454      79
   45     601     381
  808     617      45
  385     670     239
  764     982     433
  792     438     495
   21     156     363
  585     757     292
  310     310     348
  952     733     364
  444     906      31
  339     761     305
  266       2     315
  838     589     278
  986     518     429
  399     414     358
  312      68      38
  387     963     177
  289     197     218
  109     247     179
  397     827     396
   88     908     367
  664     816     121
  803     288     244
  185     291      75
  612     544     500
  632     637     362
  248     232     300
  987     462     238
  987     322     201
  956     794     452
  841     137     152
  683     836     190
   11     645      56
  393     380     278
  314     418     211
  640     967     188
  677     913     465
  431     518     179
   40     456     108
  859     153     127
  881       6     121
  687     260     159
  503     608     392
  388       8     474
   57     776     352
  790     146     441
  759      32     300
  148     930     444
  874     693      67
  257     888     233
  756     695     409
  356     125     126
  680     131     178
  962     176     120
  149     682      98
  700     369     363
  689     709     414
  930     515       2
  979     897     371
  374     938     426
  300     440     463
  991     407      56
  534     298     388
  580     632     197
   74     641     261
  703     549     440
  812     172     428
  767     137      62
  356     714     312
  558     842      49
  106     919     207
  370     376     311
  639     997     252
  933     619     310
  712     106     261
  695     423      69
   93     216     453
   61     534     202
  655     221      76
  792     786      85
  749     810     247
  611     581      88
  702     129      76
  129     541      65
  390     797      78
   91     222     224
  685     157      25
  964     305      33
  599     637     209
  434     632     478
  256     682     408
   85     793     158
   73     255     432
  639     672     425
  711     473     382
  752     387     418
  760     582     254
  355     884      23
  772     236      46
   96     493      14
  711     330     451
  369     431     339
  662     331     262
  682     125     300
  451     490     315
  767     134     280
  974     112     397
  401     597     436
  578      93      44
  405     593      89
  440     157     474
  484      29     213
   45     931      73
  477     557     192
  251     692     299
  701     659      75
  946     522     118
  573      48     323
  579     152     271
  962     240     495
  455     582     346
  930      46     116
  717     667     245
  754     652     430
  939     624     359
  446     907     276
  557     335     382
  201     269     235
  374     402     417
  291     954     350
  140     129     417
  180     507     108
  780     506     338
  936     173     237
  325     547     293
  388     238      18
  157     142     145
  331     693     232
  721     929     479
  253     731     427
   72     775     325
  768     355     193
  736     311     362
  446     908      68
  872     777     447
  545     671     321
  827     281     395
  191     679     495
  470     945     123
  335     872      25
  664      99     325
  590     945     187
  984     905     375
  921     780     344
  588     843     140
   74     219     342
  690     265     160
  594      90      76
  599     924     376
  836     677      51
   68     911      18
  408     830     346
  283     356      88
  403     730     120
  836       8     130
  274     844      74
  982     184     328
  223     716     145
  836     551     270
   26     688     127
  274     542     349
  897     801     194
  598     958     268
  804     205      91
  602     524     151
  585     901     182
  654     475     467
  758     907     314
  975     472     340
  480      40     269
  313     964     384
  713      29     155
  346     104     291
  495     418      32
  460     606     231
  167      59     459
  213     491     282
  576     278     170
  278     620     328
  909     549     474
  261     343     199
  556     405      25
  770     555     407
  162      16      34
  690     100     233
  212     332     466
    7     630      22
   41     573     131
   25     993      11
  676     255     117
  418     654     303
   45     248     292
  768     919     309
  509     326     333
  342     362      82
  811     414     271
  899     931      67
  787     648     111
  825     328     277
  548     593     343
  590     592      74
  351     264     481
  218      35     197
  915     208      21
  236      28     316
  238      53     245
  697     630     470
  523     914      53
   55     266     322
  385     853      63
  351     383      54
  854     962     369
    7      64     197
  238     939     111
  951     960     326
  802     289     271
  432     762     254
  656     183     166
  189     722     178
  764     375     476
  278      23     225
  451     247     431
  373     564     475
   66     236     352
  227      11     288
  171     676     117
  646     731     174
  188     606     240
  693     805     376
  389     487     436
  663     514     443
  443     722     182
  689     650     196
  653     413     123
  394     332     326
   93     216     378
  675     874     326
  130     936      68
  824     255     269
  567     809      49
  698     113     270
  696     351     111
  253     812     266
  605     899      74
   38      89      60
  445     696      16
  701     853     134
   62     696     209
  469     726     216
  382     772     416
  365     358     231
  683     619      52
  606     690     204
  699     475     337
  254     567     370
  563     788      30
   28     450     446
  720     225     152
  551     297      29
  279     757     418
  319     714     391
  942     913      27
  226     848     351
  691     325     396
  175     101     236
  530     632     364
  673     128      76
  503     981     395
  281     704      91
  932     852     300
  745     939     387
  898     248       7
  846     887     132
  835     189      11
  719     953     397
  137     279     384
   57      87     257
  951      20     240
  810     674     276
  704     253     367
  881     823     343
  103     899     320
  752     169     352
  607     792      55
  608     473     222
  788     420     112
  853     289     229
  798     473     187
  202     318     103
  134     430     492
  792     852      25
  300     500     478
  313     825       4
  215     117     245
  416     321     308
  564     171     192
  536     386     380
   29     840     242
  887     647     450
   41     319     295
  637     182     124
  619     744     193
  980      80     240
  141     704     249
  324     429     309
  658     327     136
  182     808     114
  676     679     312
  737     493      67
  516     414     271
  991     198     119
   47     177     366
  101     333      91
  362     371     123
  263      42     413
  286     734     166
  620     685     100
  536     258      57
  578      64     143
  525     666     443
  134     212     239
  221      59      59
  267     213     121
  643      50       4
   20     138     418
  655     452     243
  914     799     439
  126     995     104
  916     160     281
  727      39     170
  491     441     224
  315     631     179
  832     805     321
  616     486      59
  289     416      97
  478     384     264
  307      27     397
  390      37     228
  538     472     357
  245     722     318
  253     105     352
  813     616     193
  892     379     347
  898     491     121
  680     753      39
  840     846     207
  431     123     327
  113     709     209
  483     773     237
  740     325     494
  844     102      20
  822     943     321
  790     111      65
  853     888     455
   30     682     202
  572     280     332
  447     255     347
  463     966     427
  175     321     255
  697      37     464
   44     528      19
  567       3     272
  406     551     143
   38     436     131
  921     901     317
  563     108       2
  279      90      77
  582     769     307
   91     184     152
  319     207     209
  539     761     498
  116     456      77
  517     555     246
   34     984       6
   80     344      33
  859     187     417
   58     563     232
  745     754     365
   27     883     169
  656     262      27
    4     714      79
  883     885     273
  684     482     229
  955     153     105
   28      44     186
  733      76     150
  139     124     198
  759     877     476
  642     837     117
   54     866      35
  273     567     156
  158      41     473
  767     810     334
   94     358     277
  713     807     454
  792     910     254
 1000     629     330
   83     643     382
  335     421     456
  149     538     496
   93     852     294
  100     428     138
  705     819     218
  129     281     482
  713     308     198
   50     343     342
  828     557     367
   17     994     137
  260     922     374
  884     608      30
  210     746      91
  820     896     413
  263     851     344
  195     666     497
  138     996     417
   51     343     485
  359     190     366
  933     489     294
  504     428     236
  284     417     475
  390     383     297
  989     594     486
  518      89     126
  875     256     163
  589     773     393
  379     966     319
  418     531     373
  874     814     260
  597     749     386
  713     979      47
  921     371      94
  668     411      51
  615     736     434
  686     909     214
  411     742     396
   69     718     140
  458     660     468
  414     909      53
  793     426     164
  556     375     194
  197     975     365
  434     464     308
  603    1000     213
  451     395     339
  541     825     334
  820     251     329
  790       3     156
  726     601     210
  344     939     333
  358     909     138
  733     200     448
   99     364     239
  978     522      71
  116     444      63
  839     383     270
  241     361     129
  599     169      61
  399     308     176
  225     137     425
  917     259     151
   49      87     326
  740     468     442
   45     771     472
  881     308      25
  780     684     150
  164     402      47
  730     722     417
  590     870     108
  175     274      92
  966     898     479
  637     768      85
  612      66     367
  669      82      33
   98     922     413
  223     349      88
  807     968      28
  157     412     159
  423     993     191
  304     345     371
  852     215     367
  198     435      11
  976      57     378
  900     914     471
  332     535     201
  662     649     363
  194     945     272
  940     282      79
  441     844     104
  468     199     131
  426     407      30
 1000     995     297
  263      13     104
  891      64     266
  133     390     497
  259     397     458
  326     654     266
  897     832     408
  919     739     384
  966     439     168
  525     266     157
  489     111     186
  456     381     325
  337     733     416
  113     771     305
  525     514     365
  485     894     232
  782     361     111
  246     174     152
  631     219     243
  812     636     258
  424     197     104
   93     514     370
   25     968     447
  586     804      82
  468     225     444
  752      97     240
  434      58     480
  736      17     140
  301      96     398
  681     162     115
   60     279     320
