  100    1000
   98      20     454
   20      60     139
   28      90     462
   39      63     214
   53      42     428
   44      13     265
    5      81     328
   85       5      22
   64      60     134
   77      38     273
   47      76     366
   78      79      68
   15      55     220
   30      12     299
   86      38     128
   83      39     467
   23      36     190
   42      16     122
   66      45     174
   35      44     229
   73       8     243
   31      45     311
   94      26     262
   20      70      50
   77      95     159
   38      52      26
