  100    7000
   50      91     233
   21      84     281
   82      18      53
   56      19     316
   13      32     472
   36      56     132
   90      61      32
   74       3      50
   56      54     278
    3      44       9
   22      22     451
   48       2      25
   52      93      60
   14      74     367
   77      87     212
   96      85     441
   48      48     483
   46      41     354
   77      51     249
   11      98      26
   68      56     325
   40      37     103
   12      37     291
   11      88     451
   65      71      38
   38      72     238
   16      44     109
   81      41      32
   70      32     443
   93       4     475
   59       4     407
   21      73     302
   61      52      50
   15      63     472
   86      29      30
   40      85     214
   45       3     384
   18      32     281
   16      77     270
   97      76     468
   59      79     456
   44      23     481
   42      99      54
   96      28     142
    2      85     365
   37      38      13
   69      50     451
   87       9     160
   72      73     250
   62      45     299
   43      78     136
   30      69     181
   86      62     252
   88      72     406
   66      81     344
   60      48     345
   44      31     395
   17      75      15
    2      81     236
   99      83     325
   33      39     473
   53      91     354
   10      58     219
   13      99     324
   96       3     176
   59      43     389
   69      42     228
    8      16     356
   47      30     383
    1      32     191
    9      80     343
   64       9     205
   95      20      64
   42      21     298
   39      37     139
   69      41     100
   57       8      63
   68      46      71
   32      20     186
   51      18     439
   60      31     261
   81      51       6
   40      24     486
   41      86     475
   75      16     410
   21      20     430
   94     100      75
   97      72     490
   48      55     496
   32      91     108
   56      70     209
   35      13     206
   13      40     329
   36      45     491
   88      68     252
   23      27     223
   62      76     291
   83      29     380
   66      83     161
   12      28     373
   68      45     319
   87      94     231
   35      72     451
   97      18     100
   89      93     379
   25      67     218
   69      16     270
   97       2     239
   32      81     387
   42      77      27
   44      99     223
   88      63     499
   94      96     430
   99      51     492
   20       9     489
   52      60     265
   98      99     152
   52      17     322
   52     100     398
   37      13     294
   33      14     231
   60      82      62
   32      41     345
   16      30      90
   93      19     327
    3      94      40
   42      89     103
   57      89     438
   92      86     271
   17       1     129
   10      63     351
   80      62     309
   23      14      82
   25      12      59
   38      99     451
   42      60     362
   88      93     337
   16      98     142
   52      80     480
   43      58      81
   48      53      41
   44      38     358
   19      94     182
   54      57     391
   85      89      95
   11      85     411
   27      42     496
   43      24      86
   55      91     410
   73      55     488
   72      63      77
   21      58     264
    4      33     118
    9      29     399
   80      13     427
   84      63     371
   66      30     167
   62      26     104
   28      51     255
   89      22     169
   64      97     152
   21      23     264
   30      21     321
   48      73     193
   32      30     145
   85      47      93
   76      76     318
   37      90      31
   60      37     301
   72      31     147
   31      94      72
   15      41     359
   31      44     380
    5      34     369
   90      21     373
   29      26     268
   90      53     257
   46      33     328
   37      89     167
   38      61     191
   18      71     160
   90      89     123
    2       8     494
   15      35     205
   88      15     135
   18      88     249
    9      62     279
   14      51     357
   23      19      20
    4      24     347
   50      53     240
   73      29     218
   84      91     433
   24      94     322
   11      87     332
   24      41       1
   84      92     219
   15      51      39
   16      26     112
   76      68     210
   58      52     369
   16      29     448
   84      44     319
   97      39     260
   75       1     270
   10      61      82
   64     100     158
   17      89     113
   87       6     112
   63      90     216
   85      75     363
   98       7     315
   96      83     458
   62      72     179
   29      30     423
    8       4     288
   65      82     386
   27      58     378
   91      92     390
   58      26     146
   60      70     444
    2      34     225
   87      39      50
   95      86      18
   40      93       8
   18      35     441
   72      12     111
   25      63     228
   38      89     170
   78      40     131
    5      19      14
   42      58     103
   21      19     223
    5      99     132
   77      48      31
   41      25     218
   43      73     349
   54      78      83
   27      95      52
   46      74     475
   43      84     283
   23      61     453
  100      17     483
   25      22     143
   64      72     135
   27      49     401
   90      99     255
   48      98     250
   36       3     245
   74      53     232
   93      91      54
    9       4     207
   73      96     233
   79      30     182
   33      93     226
   94      37     304
    6      18     463
   30       7     206
   56      76     426
    5      22     479
   90      20     332
   23      53      87
   32      90     359
   79      61      16
    9      97     316
   91      24     465
   43       4     454
   79      94     313
   36      39     374
   54       7     211
   45      10     156
   37      78     270
   42       8     324
   81      30      24
   10      17     359
   64      15      39
   39      82      68
   74      58     287
   65      58     467
    4      84     159
   84      64     206
   60      63     126
   77      11      38
   65      54     302
    3      13      32
   72      77     455
   22       3     195
   66      67     102
   12      55      82
   80      12     306
   70      11      14
   98      23     146
   37       7     158
   46      64     457
   33      87     335
   50      13     278
   67      31     456
   61       1     118
   74      78     372
   12      23     414
   57      48     109
    2      62      97
   59      21     224
   96      68     245
   57      78     213
   62      25     358
   67      73     364
  100      17     118
  100      84     481
    6      67     362
   78      55     422
   70      66     450
   49      65     427
   92      57     320
   65      24     107
   35      67     335
   17      64      29
   68       6      34
   39      69       6
   35      91     112
   74      83     275
   30      70     104
   47      41      77
    6      20     336
   50      42     340
   90      71       8
   56      98     447
   81      52     396
   94      77     450
   68      38     367
   89      52     267
   86      78     301
   14      75     130
   77      88     131
   57      48     134
   25      12     213
   79       9     127
   58      86     254
   86      72     337
   23      12     445
    3      55     374
   76      10     442
   65      50     104
  100      21     391
   91      89     294
   68      15     410
   42      26     499
   31      52     230
   91      94     187
   36      43     204
    8      96      94
   45      30      63
   90      92     217
   97      43     139
   15      50      93
   75      59     301
   97      82     186
   83      35     300
   92      83     389
   51      56     400
   10      78     500
   95      87     163
   70      36     397
   50      46     201
   16      65     360
    8      21     456
   71      83      78
   14      51     353
   84      70     402
   20      96     419
    9      57     122
   99       1     299
    4      35      59
   51      73     100
   73       7     350
   68      24     280
   55      69      88
   88      61     203
   20       5     221
   10      35     322
   38      46      52
   27      38      42
    1      94     211
   64      43     283
   50      22     439
   40      37      21
   34      43      42
   23      36     314
   23      15     280
    2      76     453
   79      10     175
   32      36     154
   19      55     464
   59      11     136
   95      61     253
   65      32     363
   10      30     465
   34      29      44
   44      91     403
   45      92     374
   72      40     302
   68      53     471
   42      30      68
   67      43     141
   64      59     392
   16      77     198
   63      30     382
   76      91     314
   72      53     284
   21      98      77
    7      73     249
   98       2     199
    5      97     246
   42      72     342
   33      52      33
   88      22     199
   94      62     170
    9       5     337
   88      50     335
   12      33      95
   70      96     249
   71      13     307
   95      23     205
   85      40     391
   14      83     167
   75      88      17
   33      86      64
   61      94     178
   44       9     187
   16      40     319
   66      46     309
   88      47     387
   28      84     287
   60      95     397
   50      82     454
   74      78     450
   42      67      40
   38      38      90
    3      67     278
   10      71     260
   95      36     288
   99      75     156
   38      99      64
   69      53     362
    9      86     402
   65      21     462
   65      31      53
   65      31      35
   84      52     102
   56      75      47
   88      24     460
   41      20     311
   53      14      71
   97      56     262
   69      70     498
   96      57     175
   38      15     361
   92      36     447
   20      25     293
   12      11      59
   70      43     119
   25       9     301
   35      61     152
   41       1      69
   20      13     476
    9      43     129
   93      97     136
   42       3     351
   74      28     484
   98      96     186
   77      70       2
   56      51     211
   27      98     430
   49      85     130
   42      41     149
   61      42     331
    4      90     232
   59      21     280
    5      61     418
   71      39     153
   98      43     319
    2      23     214
   11      78      69
   86      52     347
   57      84     460
    5      11     206
    4      75     194
   42      38     133
   24      54     458
   89      88     472
   80      81     444
   32      15     329
   13       7     324
   54      53     230
   64      25     337
   23      37     160
    6      56     186
    2      60     435
   95      47     402
   30     100     220
   93      78      16
   28      23     388
   77      99     333
   49      55     330
   28      68     239
   36      62     368
   11      17     456
   28      79      37
   48      13     492
   37      36     202
    1      88     128
   71      81     474
   39      72     332
   95      69     116
   26      46     123
   58       6      70
  100      95     480
   98      47     355
   18       2     285
   87      44     226
   22      53     297
   47      52     281
    4      18     185
   75      22      65
   96      38     252
   39      52     138
   41      32     459
   78      75     231
   96      57     161
   89      56      27
   71      96      81
   42      40     148
   74      84     436
   39      82     422
   75      91     243
   53      76     411
    6      54     367
   23      90     146
    1      33     174
   60      92     397
   68      26     249
   98      61     118
   49      58      36
   87      30     489
   60      58     351
   50       8     400
   30      54     281
   51       9     261
   41      95       9
   65      92     377
    1      24     116
   60       1      49
   38      47     184
   10      84     238
   10      20     493
    4      73      23
   16       7     357
   67      14     349
   33      52     162
    6      76     259
   21      43      73
   82      81     489
   66      32     164
   54      76     408
   89      47     159
   60      67     238
   86      84     252
   20      76      46
   62      83     234
    3      31     380
   56      55      30
   91      59      42
   93      33     116
   51      81     482
   89      29     149
   33      28      52
   99      34     278
   52      18     122
   50      52     439
   24      77     451
   40      35     198
   10      38     268
   95      51     454
   39      75     227
   60      53     313
   53      15      80
    8      31      43
   18      24     174
    3      19     409
   42      39     176
   22      28     247
   99      66     211
   30      87     253
   66      36     349
   88      99     488
   14      50     255
   18      98     111
   70     100     343
   39      64      37
   94      22     428
   43      64     347
   35      55     395
   88      37     184
   24      18      53
   58      39     285
   59      48     269
    4      96      59
   43      89      83
   19      52     410
   44      85     211
   73      14     266
   49      78     121
   26      95      10
   16      68      49
   82      37     115
   30      34     483
   67      71     345
   20      58     413
   39      20     284
   63      85     474
   27      74     486
   49      90     221
   62      12     132
   41      76     192
   25      48     267
   85      29     239
    5       1      52
   46      57     394
   42       2     294
   62      30     465
    6      85     125
   75      83      81
   89      53     216
   12      79     385
  100      93     337
    7      20     225
   31      76     456
   63      38     479
   59      30     478
   15      97     371
   61       7       7
    7      74       1
   14       3     165
   71       1     199
   66      57     258
   51      31     226
   91       8     108
   63      80     410
   23      80      64
   21       1     326
   70      41     131
   54      54      61
   24      43     212
   56      92     381
   90      91     360
   36       7     173
   64      99      33
   18      48     431
   45      98     128
   50      78      12
   12      22     257
   11     100     428
   71      13     432
   87      65     128
   89      89     471
   94      63     224
   57      58     156
   60      42     303
   53      48     213
   91      23     100
   62      77       7
   31      34     268
   63      47     221
   52      28       5
   82      43     276
   40      53     364
   96      66     226
    1      67     101
   25      98     220
   92      55     163
    8      81     253
   94      44     208
   67      79       4
   15      14     284
   36      22      25
   79      33     273
   86      99     284
   16      97     387
   23      27     204
   77      93     141
  100      39     224
   62      15     478
   85      55     128
   42      52      44
   29      50     227
   82      75     490
   86      28     245
  100      15     154
   87      60     313
   11       7      15
   30      85     344
   14      70     180
   97      56      97
   69      58     189
    8      37     167
   92      37     375
   17       9     475
   81      95     209
   21      69     314
   63      48     264
   74      49     431
   60       3     464
   63      49      90
   79      99     158
   84      39     327
   46      70     250
   41      80     440
   48      25     340
   74      43     454
   33      17     433
   29      37     360
   72      71     458
   21      98     353
   31      54     143
   48      61     274
   63      16     381
   22      42     129
   96      61     223
   76       7      26
   22      19     365
   46      83     449
   96      31     268
   13      54      20
   25       9      23
   95      91      53
   60      60     419
   68      21     390
   35      99     368
   51       7     143
   94      41      77
   52      75     465
   52      70      29
   64      43      74
   34      70     398
   74      49     409
   49      89     183
   11      83     493
   51      77     473
   19      49     480
   82      12     281
   57      67     233
   35      47      48
   98      17       9
   13      75     108
   89      40     262
   39      39      76
   29      35     217
   93      25     299
  100       8     146
   93      36     445
   76      46     265
   82       2     148
   50      35     242
   55      78     491
   47      85     190
   27      26     457
   66      82     334
   27       1      73
   36      94      94
   56      59     450
   11      64     395
   20      57     225
   65      95     169
   66      93     302
   36       3     296
    8      38     387
   20      24     279
    7      16     129
   58      33     165
   42      11     185
   20      56     250
    7      97      54
   84      59     374
   55      64     460
   98      34     282
   72      69     497
   80      22     435
   15      92     257
   60       2     179
   73      99     182
   60       8     138
   62      19     111
   89      12     344
   29      73     202
   42      48     307
   72       5     487
   86      74     346
   77      10     370
   28       5     484
   20      48     332
   23      33     411
   96      73     427
   23      96      84
   37      67     160
   45      71     224
   49       4     213
   42      57     437
   97      30     415
   94      35     392
   58      26     283
   69      31     207
   39      36     103
   66      34     166
    3      46     174
   79      47     248
   19      87      68
   86      40      80
   58      33     131
   30      55      93
   28      31     185
    6      21     269
   90      90     438
   10      74     122
   13      31     271
   35      58     337
   22      84     369
   63      14      25
   39      47     117
   17      87     292
   42      36     103
   14      72     167
   42      65      11
   93      30     437
   94      41     313
    1      79     333
    3      41     107
   75      11     475
   30      52     413
   46       9     385
   41      67      65
   14      22     171
    2      76     341
   82      47      24
   39       1     159
   45      43     419
  100      85     376
   14      64     311
   45      32      69
   69      68     428
   42      23     464
   70      10     459
   84      88      41
    6      49     103
   45      46     500
   69      14     429
   48      62     274
   27      83     213
    7      31     432
   81      77      54
   85      32     348
   64      13     143
   11      82      90
  100      40     436
   21      60     187
   67      24     391
   23      74     230
   58      78     198
   76      41     470
   43      88     346
   21      81     114
   23      71     453
    4      40     290
   15      44     434
    6      70     371
   28      39     451
   72      41     196
   51      10     283
   71      35     226
    5      20     443
   39      60     222
    7      34      43
   65       6      87
   94      13     261
   33      81     220
   65      41     109
   25      74     322
   35      76     280
   25      74     371
   23      68     404
    4      90     279
   92      41     249
   80      73     205
   92      51     329
   15      82     488
   41       3     194
   45       6     340
   48      75     227
   54      66     473
   70      15     275
   62      79     368
   42      74      36
   45      31     284
   95      95      36
    6      81     302
   18      74     423
   39      87     349
   66      25     400
   15      12     310
   46      95      72
   47      47     275
   12      64      73
   67      58     424
   48      70     308
   63      28     463
   56      51     463
   98      52     103
   25      86      26
   95      75     117
   82      16      14
   62      98      74
   42      12     234
   62      44     206
   52      70     202
   73      33     355
   96      54     320
   75      33      14
    3      98     466
   22      46      13
   92      20     323
   24      47     441
   68       3     165
   35      21     405
   98       8      59
   46      66     379
   56      73     151
   27      86     484
   66      67     347
   32      53     391
   17      76     447
   85      23      83
   65      23     183
   97      67     367
   38      53     320
   83      58     134
   29      54      66
    3      47     466
   73      63     230
   74      61     481
  100      40     408
    6      49     158
   67      62      91
   66      35     301
   81      28     258
   29      95     417
   80      17     278
   49       1     451
   44      85     133
   55      27     370
   96       2     394
   21      61     315
   43      83     184
   68      34     480
   86      47     435
   81      53     367
   10      59       5
   82      49     451
   51      37     201
   36      60     480
   19      28      74
   82      38      21
   33      24     441
   36      69     237
    9      18      20
   16      97     370
   68      17     352
   33      57     377
    2      17     320
   90      64     143
   53      51      34
   67      50     399
    6      54     117
   23      20     436
   18      86      91
   32      20     262
   66      12     426
   52      17     256
   58      20     344
   66      11     397
   73      66      96
   70      84      90
    9      33     244
   64       2     453
    2      31      46
   87      51      73
   78      41     121
   55      82     287
   11      30     475
   90       1       4
   36      95     174
   91       6      72
   25      76     132
   89      91     171
   21      57       1
   34      98      16
   48      71     335
   42      75     140
   30      93     262
   88      58     313
    5       5       3
   23      94     414
    4      38      45
   88      89     349
   93      48      26
   94       8     270
   15      96     447
   86      93       1
   68       7     380
   12      63     207
   92      49     200
   26      89     472
   26      85     117
   85      20     156
   78      49     364
  100      21       4
   49      53     304
   49      65      76
    1       2     300
   25      33     116
    7      90     417
   29      10     370
    6      28     214
    9      33     369
   53      16      12
   44       4     145
   91      19     180
   50      11      77
   96       3     388
   95      27     361
   96      62     225
    8      33     361
   36      42     475
    3      95     107
   25      68     441
   21      93     270
   19      71     355
   14      28     470
   77      13     210
    3      67     431
   83      10     157
   52       1     431
   87      94     455
   72      82     477
   43      99     111
   11      10     114
   11      48      24
   38      42      71
   22      16      52
   85      26     289
   67      43     247
   27      17      51
    1      39     322
   33      52     101
   75      90      50
   98      19     282
   90      63     368
   79      48     155
   41      14      69
   59      31     327
   61       1      54
   48      45     206
   18      43      37
    9      55     114
   38      73     292
   94      37     422
   77      49     401
   94      71     355
   75      43     367
   64      25     367
    5      59      52
   55      17      28
   92      92      24
   85      38     190
   38      69     416
   15      19     427
   41      60      75
   77      91      67
   67      72      82
   36      90     395
   11      69      40
   28      92     116
   52      95     278
    9      34     475
   73      76     460
   90      35      77
   97      10      29
   59      78     352
   44      87      46
   19      41      90
  100       2     228
   83      62     124
   26      86     450
   53      47     137
   91      59     115
   67      34     191
   79      90     170
   95       1       3
   84      42     306
   71      46     207
   22      43     140
   35      35     120
   44      35      34
   34      63     331
   62      82     179
   54      31     461
   75      80     395
   49      83     251
   67      55     317
   95      31      71
   48      64      13
   51      96     280
   91      16     449
   41     100     137
   59      13     410
   91     100      18
   68      65     445
   69      62     167
    5      25     155
   10      62     190
    8       1     287
   24      41     440
   92      67     221
   81       1     269
   75      78     308
   45      79     107
   88      48     262
   82      89      81
   80      32      20
   66      79     134
   98      97      74
   28      30     415
   59      20     292
    8      58      75
   16      14     299
   92      21     284
   46      19     440
  100      81      57
   16      89     209
    1      14     165
    9      37     457
   55      22      10
   32      47     146
   60      24     361
   94     100     423
   53      66      73
   21      15     162
   33      56     457
   37      39     402
   54      63     261
   11      78     249
   33      57     234
   61      39      62
   85      89     143
    1      81     349
   53      94      52
   64      60     368
    9      83     397
   29      81     366
   42      65      67
   44      56     415
   40      11     435
   31      59     363
   45      19     282
   54      22     488
   70      90     403
   85      75     379
   37      48      93
   18      92     360
   31      30     464
   10      83     141
   75       1     492
   23      21     123
   36      88     256
   44      83     196
   66      11     106
   33      89     497
   59      50      14
   66      36     290
    3      57     355
   64      94     303
   12      28     313
   38      84      18
   63      21     256
   40      13     237
   95      69     237
    7      13     415
   39      76     209
   82      48     182
   44      29     273
   10      42     435
   95      20      70
  100      70     391
    9      45     275
   91      28      29
   78      34      61
   44      92     472
   34      51      68
    1      73     427
   33      71      95
    4      73     383
   54       2     348
   69       6      15
   83      55     112
   34      24      59
   60      44     241
   52      39     499
   24      96      85
   47      60     137
   88      87     265
   14      40      91
   46      84     188
   74      57     164
   92      78     493
   56      37      58
   95      81     129
   27      54     102
   73      41     172
   85      17     192
   55      64     424
   92      28     149
   99      14      29
   39      19     134
   45       9     305
   90      56     108
  100      40      88
   13      29     234
   56      10     220
   35      10     263
   20      92     254
   86      70     178
   36      83     197
   51      17     453
   41      99     439
   65      58     320
    9       4     318
   73      30     248
   68       4     385
   71      91      12
   20      19     195
   89      45     269
   64      99     467
   49      47      23
   40      32     382
   90      89     277
   25      28      35
    7      36      50
   47       2     325
   32      39     147
   44      12     338
   36      38     454
   21      68     363
   90      77     410
   37      29     479
   35       8     210
   20      92     357
   16      89     226
   74      37     488
   94       8     308
   81      39     442
   73      53     463
   35      26     205
   41      69      24
   63      50     133
   92      24     334
   66      32     219
   62      31     118
   13     100     386
   37      18      59
   15      38     400
   27      91     273
   93      60     439
    1      87     482
   46       8     434
   15      33      89
   46      85     146
   76      86     281
   92      20     193
   16      84     293
   62      47     343
   78      64      54
   60      36     233
   92      81     251
    1      79     145
   77      46     185
   75      64     465
   32      13     264
    5      34     106
   30      19     260
   87      85     493
   26       7     155
   30      98     359
    6      97     482
   67      25     422
   46      78     210
   12       6       7
   46      16     325
   94      24       3
   23      41     140
   27      44     271
   29     100     332
    6      51      22
   22      59     249
   75      32     111
   45      11      24
   59      23     392
   83      98      22
   25      47     303
   65       3      93
   56      92     213
   55      63     243
    4      56     320
   14       4     168
   76      39     260
   13      40     331
   99      78     100
   56      44      42
    5      33     386
   36      10     319
   10      66     299
   66      47     228
   62      45      33
   97      52     377
   88      50      88
   49      17       9
   54      25     195
   93      12      99
   48      91     220
   85      58     352
   32      12     247
    5      28     187
   60      27     146
   21      25     255
   60      34     243
    5      64     449
   18      23     143
    5      29     375
   26      27     435
   22      34      64
   15      75     459
   56     100     441
   26      41     166
   68      60     172
   29      66     491
    3      51     224
    9      30     195
   83       1     444
   91      95       8
   35      86     289
   74      13     361
    4      19     447
   69      24      17
   86      56     268
   23      24     370
   86      65     280
   13      79     425
   54      86     276
   13      89     305
   18      33     407
   24      43     272
   70       1     497
   46      76     119
   24      20     229
   90      57     202
   85       1      96
   14      17     116
   36       8      43
   70      83     264
   79      28     370
   36      50      69
   96      57     422
   98      12     402
   89      66      97
   66      31     344
   46      35       9
   53      19     121
   33      46     228
   78      61      26
   53      71      80
   30      52     135
   54      82     314
   75       8     304
   63      32     144
    4      17     171
    2      47     485
   59      72      18
   71      57     244
    3      54     149
   13      12     131
   15       7     360
  100      36       6
   46       8     494
   44      11     344
    4      39     355
   28      73       5
    6      31       8
   70       7      94
   52      82     411
   86       4      86
   99       6     302
   89      52     346
    8      30     205
   93       7     308
   88      54     137
    5      57     145
   15      14      99
   63      24     265
   80      98     110
   41      13     270
   31      31      77
   65      18     498
   38      53     190
   30      72      84
   15      86     150
   63      14     491
   65      16       6
    8      99     142
   22      55     288
   90      27     347
   33      66     257
   87      98     161
   10      33     457
    1      61      85
   48       2      87
   39     100     335
   71       7     403
   89      99     295
   37      64     152
   55      84     142
    9      10     229
    5       4     218
   65      51     184
   10      54      32
   31      21     162
   65      12     171
   15      17     384
   14      28     248
    2      42      39
   29      35     109
   70      48     153
   17      23     175
   86      14     116
   57      29     427
   49      56     336
   10       2     308
   55       7     127
   22      39     187
   54      37      97
   90      77     201
   99      43     203
    8      69     139
   14      23     425
   35      16     304
   62      80     446
   23      21     487
   21      71      46
    7       1     409
   15      58      83
   42      67     276
   53      56     401
   24       8     140
   65      77     427
   51       5     432
   52      82     402
    3      42     350
   57      85     134
   59      61     462
   46       6     310
   99     100      79
   98      58     296
   73      52     292
   43      23      82
   75      65     195
   89      96     283
   61      22     330
   37      75     482
   47      77      78
   34      94     219
   74      21     320
    5      93     121
   19      92     280
   75      57     429
   53      66     439
   68      22     312
   57      35     270
   88      56     241
   47      34     409
   12      37     468
   53      26      93
   63      85     355
   21      67     199
   64      64     239
   66      18     264
   53      19      79
   33      37     143
   68      32     282
   15      67     384
   69      62     220
   16      96     370
   53       9     300
    9      56     158
   60       3      26
   99     100     454
   43      78      26
   47      42     242
   20      10     126
    7     100     175
   48       6     455
   64       3     494
    9      64     166
   29      46      99
    1      71      86
   20      41     196
   33      93     233
   13      90     340
   90      78      26
   58      91      84
   20     100     277
  100      61     165
   27      92     280
   68      66     452
   80      28      87
   80      85      16
   20      63     136
   36      86      38
   21      36     127
   67      46      83
   78      72      13
   78      66     416
   51      74     160
   72      23     317
   19     100     453
   98      85      49
   95      77     177
   22      73      87
    3      69     213
   16       7     191
   60      32      65
   50      23     435
   36      67     293
   17      88     199
   84      29      37
   11      80      47
   54      23      63
  100      68     425
   26      94      95
   39       5     365
   80      27     428
   73      51     349
   69      10     209
   56      38     425
   61      94      11
   97      69     138
   93      67     323
   40      27     416
   79      45       5
   62      85      29
   64      51     230
   13      42     141
    4      43     354
   80      90     384
   20      84     370
   59      96     465
   34       9      86
   57      67     324
   88      76     453
   36      44     304
   13      61     434
   18      60     276
   53      17     232
    5      47     280
   31      32      56
   38      68     187
   14      65     350
   22      53     112
   96      10     261
   91      64     175
   65      45      99
    8      99      42
   82      89     290
   46      16     179
   64      12     291
   61       6      13
   66       5     253
    2      25     303
   99      61     444
   48      91     126
    8      27     445
    9      19     118
   95      53      72
   14      87      20
   59      51     391
   62       8     461
   24      67     406
   37      37     246
   93      51     463
   78      21     438
   11      92      82
   47      94     336
   23      49     118
   13      52     263
   42      31     328
   85      80     192
  100      88     449
   24      46     456
   99       4     186
   40      47     327
   55      58     415
    9      38      10
   67      79     237
   28      84     439
   80      41      99
   89      17      32
   16      27     262
   12      79      68
   54      60     465
   37      43     490
   21      52     308
   50      99      74
   43      76      70
    7      23     462
   74      26     128
   52       8     348
   48      78      44
   15      67     175
   42      76     428
   89      48      58
  100      27      63
   94      59      89
   15       9     317
    4       5     303
    3      69     220
   10      83     241
    3      16      31
   98      91      83
   87      16     160
   10      58     355
   97      45     185
   55      77     111
   11      66     398
   91      81     225
   12      38     410
   67      28      57
   30      78     328
   15      87     146
   86      71     118
   13      51     153
   57      60     404
   70      46     405
   88      54      76
   48      65     193
   99      12     140
   63      66      62
   44      46     132
   25      41      70
   29      72     370
   88     100     286
   55      79     308
   69      63      39
  100      59      82
   68      30      51
  100      74     164
   35       7     142
   51      90     333
   40      66      65
   46      97      91
   44       2     136
    8      43      92
  100       5       8
   69      77     440
   69      66     236
   72      99     109
   92      66      10
   11      42     424
   53      92     435
   96      81     396
   44      53     335
   49      24     415
   16      80     151
   35      11     193
   91       8     250
   56      28     157
   40      56     150
   30      76     204
   46      83     433
   97      53     107
    6      33      53
   24      19     417
   76      23     482
   75      83     291
   83      69     364
   75      22     397
   36      82     413
   19      28     460
   47      98     212
   85      55      77
   19       1     217
    9       6     466
   54      62     271
   87      89     366
   35      55     350
    2      88     101
   95      80      95
   34      63     353
   21      80     283
    9      93     192
   46      58      82
   18      17     440
   62      48     192
   30      21     197
   16      76     327
   68      56     289
   10      49     318
   80      82      25
   88      68     117
   63      26     186
   34      71     166
   74      46      65
   82       2     481
   40      41     172
   35      63      74
   77      46     491
   72      46     374
   86       9     404
    7      90      38
   36      43     494
   26      56     457
   51       4     243
   52      99     407
   32      23     490
   18      11     144
   56      23      49
   94       7     363
   94      26     114
   92      26     198
   85      97     229
    8      96      88
   49      97      70
   61      35     240
   41      74      44
   27      64     388
    1      32      68
   87      14      71
   65       4     443
   59      42     169
   52      31     370
   12      85     235
   34      13     297
    6      65     396
   31      87     346
   83      75     426
   76      29     116
    1      33     144
    5      98     237
   68      62     216
   97       2     178
   88      35     408
   66      15     149
   66      60     442
   16      22     116
   26      89     205
   56       3     133
   22      78     416
   87      99     158
   89      90     373
   57      99     409
   30      48     448
    1      45     402
   67      33     435
   40      48     323
   15      88     391
   51      92       7
   66      96     141
   53      19     120
   47      45     391
   20      41     312
   84      39     486
   26      41     215
   98      14     414
   51      66     393
   11      94     108
   75      66      10
   51      16      81
   90      80     400
    3      28     126
   68      52     426
   30      45     238
   85      68     476
   91      25     473
   38       3     260
    8      34     117
   72      88     383
   85      15     177
   48      15      45
   15      17     482
   92      31     193
    5      71     449
   92      10     212
   23      34     326
   55      20     440
    2      60     259
   57      76     281
   16       3     323
   41     100     381
   75      69     209
   22      71       5
   57      99     413
   54      82      79
   23       7     383
   87      82     295
   56      22     305
   31       7     352
   99      90     258
   59     100     410
   40       1     489
   29      57     437
   16      57     421
    6      28     164
   84      79     328
   60      59     305
   65       3     302
  100      28     225
   72      74     253
   34      90      29
   58      36      16
   81      72     245
   37       6     474
   91      47     137
   29      43     239
   75      93       2
   96      44     438
   69      73     170
   99      29     155
